CabinetID	DataCenterID	Location	ZoneID	CabRowID
57	1	D5F	4	5
39	1	C11	7	18
38	1	C10	7	18
37	1	C8	7	18
36	1	C7	7	18
35	1	C6	7	18
34	1	C5	7	18
33	1	C4	7	18
32	1	C3	7	18
31	1	C2	7	18
30	1	C1	7	18
29	1	C0	7	18
40	1	C12	7	18
41	1	C13	7	18
55	1	D4F	4	5
53	1	D3F	4	5
51	1	D2F	4	5
49	1	D1F	4	5
48	1	C9	7	18
293	1	A1	5	0
47	1	D11	4	5
46	1	D10	4	5
45	1	D6	4	5
44	1	C16	7	18
43	1	C15	7	18
28	1	B11	7	0
42	1	C14	7	18
12	1	A12	6	20
11	1	A11-Colo	6	20
10	1	A10	7	0
9	1	A9-Colo	6	20
8	1	A8-Colo	6	20
7	1	A7-Colo	6	20
6	1	A6-Colo	6	20
5	1	A5-Colo	6	20
4	1	A4-Colo	6	20
3	1	A3-Colo	6	20
2	1	A2-Colo	6	20
13	1	A13-Colo	6	20
14	1	A14-Colo	6	20
27	1	B10	7	0
26	1	B9	7	0
25	1	B8	6	19
24	1	B7	6	19
22	1	B5	6	19
21	1	B4	6	19
20	1	B3	6	19
19	1	B2	6	19
18	1	B1	6	19
17	1	B0	6	19
16	1	A16-Colo	6	20
15	1	A15-Colo	6	20
207	2	ITC-L12	2	13
208	2	ITC-I17	3	10
209	2	ITC-L13	2	13
210	2	ITC-L14	2	13
211	2	ITC-J1	3	11
206	2	ITC-I16	3	10
205	2	ITC-I15	3	10
204	2	ITC-I14	3	10
203	2	ITC-L11	2	13
202	2	ITC-I13	3	10
201	2	ITC-I12	3	10
200	2	ITC-I11	3	10
212	2	ITC-J2	3	11
213	2	ITC-J3	3	11
225	2	ITC-J11	3	11
224	2	ITC-O7	2	16
223	2	ITC-J10	3	11
222	2	ITC-O6	2	16
221	2	ITC-J9	3	11
220	2	ITC-J8	3	11
219	2	ITC-J7	3	11
218	2	ITC-O5	2	16
217	2	ITC-J6	3	11
216	2	ITC-J5	3	11
215	2	ITC-J4	3	11
214	2	ITC-L15	2	13
199	2	ITC-I10	3	10
198	2	ITC-I9PP	3	10
197	2	ITC-I8PP	3	10
182	2	ITC-L05	2	13
181	2	ITC-H14	3	9
180	2	ITC-L04	2	13
179	2	ITC-H13	3	9
178	2	ITC-H12	3	9
177	2	ITC-H11	3	9
175	2	ITC-H10	3	9
174	2	ITC-H9	3	9
173	2	ITC-L03	2	13
172	2	ITC-H8PP	3	9
171	2	ITC-H7PP	3	9
183	2	ITC-H15	3	9
184	2	ITC-H16	3	9
185	2	ITC-L06	2	13
196	2	ITC-I7	3	10
195	2	ITC-L10	2	13
194	2	ITC-I6	3	10
193	2	ITC-I5	3	10
192	2	ITC-L09	2	13
191	2	ITC-I4	3	10
190	2	ITC-I3	3	10
189	2	ITC-L08	2	13
188	2	ITC-I2	3	10
187	2	ITC-L07	2	13
186	2	ITC-I1	3	10
170	2	ITC-L02	2	13
296	2	TEST	1	1
267	2	ITC-E10PP	3	6
266	2	ITC-C8PP	1	3
265	2	ITC-C7PP	1	3
263	2	ITC-B07PP	1	2
262	2	ITC-A08	1	1
260	2	ITC-M16	2	14
259	2	ITC-M15	2	14
258	2	ITC-M14	2	14
257	2	ITC-M13	2	14
256	2	ITC-M12	2	14
255	2	ITC-M11	2	14
268	2	ITC-E11PP	3	6
269	2	ITC-F10	3	7
270	2	ITC-F11	3	7
281	2	ITC-D12	1	4
280	2	ITC-D11	1	4
279	2	ITC-D9	1	4
278	2	ITC-D8	1	4
277	2	ITC-D7	1	4
276	2	ITC-D6	1	4
275	2	ITC-D5	1	4
274	2	ITC-D4	1	4
273	2	ITC-D3	1	4
272	2	ITC-D2	1	4
271	2	ITC-D1	1	4
254	2	ITC-M10	2	14
253	2	ITC-M9	2	14
252	2	ITC-M8PP	2	14
237	2	ITC-N6	2	15
236	2	ITC-N5PP	2	15
235	2	ITC-N4	2	15
234	2	ITC-N3	2	15
233	2	ITC-J17	3	11
232	2	ITC-J16	3	11
231	2	ITC-N2	2	15
230	2	ITC-J15	3	11
229	2	ITC-N1	2	15
228	2	ITC-J14	3	11
227	2	ITC-J13	3	11
