Label	DeviceID	SerialNo	Cabinet	Position	Height
ULUKAU#2	25		-1	0	1
ULUKAU RAID #1	26		-1	0	3
ULUKAU RAID #2	27		-1	0	3
ODB24	40		-1	1	1
NABOO	63		-1	0	2
Kuali	400		-1	0	1
SMART UPS 750	401		-1	0	1
APC - SMARTUPS 5000	100		-1	1	5
DELL - POWEREDGE R710 - ESX46	133		-1	0	2
DELL - POWEREDGE R710 - ESX49	134		-1	0	2
CFW04	170		-1	0	1
CFW03	171		-1	0	1
LGR01	204		-1	0	1
LGR02	205		-1	0	2
DNS10	206		-1	0	1
APHRODITE	220		-1	0	1
WEB21	221		-1	0	1
T2K06	302		-1	0	2
T2K07	309		-1	0	2
IBM STORWIZE V7000	310		-1	0	2
IBM STORWIZE V7000	312		-1	0	2
T2K08	313	140952	-1	0	2
T2K72	354		-1	0	2
Dell PowerEdge Rack Console 15 FP	405	118608	-1	0	1
24MM ITCA05-ITCA08	493		-1	0	1
K103aA9sw1 172.28.2.28	951		-1	1	1
K103aA15sw1 172.28.2.27	979		-1	1	1
dell blade	1154		0	1	1
Dell Blade	1160		0	2	1
Slot-A	1224		0	1	1
Slot-B	1225		0	2	1
Slot-C	1226		0	3	1
Slot-D	1227		0	4	1
Slot-E	1228		0	5	1
Slot-F	1229		0	6	1
Slot-G	1230		0	7	1
Slot-H	1231		0	8	1
Slot-J	1232		0	9	1
Slot-K	1233		0	10	1
Slot-L	1234		0	11	1
Slot-M	1235		0	12	1
Slot-A	1237		0	1	1
Slot-B	1238		0	2	1
Slot-C	1239		0	3	1
Slot-D	1240		0	4	1
Slot-E	1241		0	5	1
Slot-F	1242		0	6	1
Slot-G	1243		0	7	1
Slot-H	1244		0	8	1
Slot-J	1245		0	9	1
Slot-K	1246		0	10	1
Slot-L	1247		0	11	1
Slot-M	1248		0	12	1
Slot-A	1250		0	1	1
Slot-B	1251		0	2	1
Slot-C	1252		0	3	1
Slot-D	1253		0	4	1
Slot-E	1254		0	5	1
Slot-F	1255		0	6	1
Slot-G	1256		0	7	1
Slot-H	1257		0	8	1
Slot-J	1258		0	9	1
Slot-K	1259		0	10	1
Slot-L	1260		0	11	1
Slot-M	1261		0	12	1
Slot-A	1263		0	1	1
Slot-B	1264		0	2	1
Slot-C	1265		0	3	1
Slot-D	1266		0	4	1
Slot-E	1267		0	5	1
Slot-F	1268		0	6	1
Slot-G	1269		0	7	1
Slot-H	1270		0	8	1
Slot-J	1271		0	9	1
K203-Fiber1-K	1272		0	10	1
Slot-L	1273		0	11	1
Slot-M	1274		0	12	1
Slot-A	1276		0	1	1
Slot-B	1277		0	2	1
Slot-C	1278		0	3	1
Slot-D	1279		0	4	1
Slot-E	1280		0	5	1
Slot-F	1281		0	6	1
Slot-G	1282		0	7	1
Slot-H	1283		0	8	1
Slot-J	1284		0	9	1
Slot-K	1285		0	10	1
Slot-L	1286		0	11	1
Slot-M	1287		0	12	1
Slot-A	1289		0	1	1
Slot-B	1290		0	2	1
Slot-C	1291		0	3	1
Slot-D	1292		0	4	1
Slot-E	1293		0	5	1
Slot-F	1294		0	6	1
Slot-G	1295		0	7	1
Slot-H	1296		0	8	1
Slot-J	1297		0	9	1
Slot-K	1298		0	10	1
Slot-L	1299		0	11	1
Slot-M	1300		0	12	1
Slot-A	1302		0	1	1
Slot-B	1303		0	2	1
Slot-C	1304		0	3	1
Slot-D	1305		0	4	1
Slot-E	1306		0	5	1
Slot-F	1307		0	6	1
Slot-G	1308		0	7	1
Slot-H	1309		0	8	1
Slot-J	1310		0	9	1
Slot-K	1311		0	10	1
Slot-L	1312		0	11	1
Slot-M	1313		0	12	1
Slot-A	1315		0	1	1
Slot-B	1316		0	2	1
Slot-C	1317		0	3	1
Slot-D	1318		0	4	1
Slot-E	1319		0	5	1
Slot-F	1320		0	6	1
Slot-G	1321		0	7	1
Slot-H	1322		0	8	1
Slot-J	1323		0	9	1
Slot-K	1324		0	10	1
Slot-L	1325		0	11	1
Slot-M	1326		0	12	1
Slot-A	1328		0	1	1
Slot-B	1329		0	2	1
Slot-C	1330		0	3	1
Slot-D	1331		0	4	1
Slot-E	1332		0	5	1
Slot-F	1333		0	6	1
Slot-G	1334		0	7	1
Slot-H	1335		0	8	1
Slot-J	1336		0	9	1
Slot-K	1337		0	10	1
Slot-L	1338		0	11	1
Slot-M	1339		0	12	1
Slot-A	1341		0	1	1
Slot-B	1342		0	2	1
Slot-C	1343		0	3	1
Slot-D	1344		0	4	1
Slot-E	1345		0	5	1
Slot-F	1346		0	6	1
Slot-G	1347		0	7	1
Slot-H	1348		0	8	1
Slot-J	1349		0	9	1
Slot-K	1350		0	10	1
Slot-L	1351		0	11	1
Slot-M	1352		0	12	1
Slot-A	1354		0	1	1
Slot-B	1355		0	2	1
Slot-C	1356		0	3	1
Slot-D	1357		0	4	1
Slot-E	1358		0	5	1
Slot-F	1359		0	6	1
Slot-G	1360		0	7	1
Slot-H	1361		0	8	1
Slot-J	1362		0	9	1
Slot-K	1363		0	10	1
Slot-L	1364		0	11	1
Slot-M	1365		0	12	1
Slot-A	1367		0	1	1
Slot-B	1368		0	2	1
Slot-C	1369		0	3	1
Slot-D	1370		0	4	1
Slot-E	1371		0	5	1
