ITS Id,Server Type,Status,Primary SA,RU Size,Current Rack,Current Position,Current Location,Serial #,Manufacturer,Model,General Notes
"A-1","","Available","","45","Not Assigned","''","","","null","","",
"apx01","","Available","","4","C10","'22 - 25'","Keller 103","","null","220R","",
"bsw04","Standalone","Available","","1","C7","'9'","Keller 103","0742006- 0912ALM1MP","Brocade","","",
"bsw05","Standalone","Available","","1","C7","'11'","Keller 103","AGF0640C05K","Brocade","5000","",
"bsw06","Standalone","Available","romeot","null","Not Assigned","''","","","null","","",
"bsw07","Standalone","Available","","3","Not Assigned","''","","","null","","",
"bsw08","Standalone","Available","","1","C7","'17'","Keller 103","","null","","",
"bsw09","Standalone","Available","","1","C7","'19'","Keller 103","","null","","",
"bsw10","Standalone","Available","","1","C7","'34'","Keller 103","","null","","",
"bsw11","Standalone","Available","","1","C7","'32'","Keller 103","","null","","",
"bsw12","Standalone","Available","","1","C7","'30'","Keller 103","AGF0640C05F","Brocade","5000","",
"bsw13","Standalone","Available","","1","C7","'28'","Keller 103","","null","","",
"bup04","Standalone","Available","","null","Not Assigned","''","","","null","SF4800","",
"bup05","Standalone","Available","","null","Not Assigned","''","","","null","","",
"cfw10","Standalone","Retired","","null","Not Assigned","''","","0835BD0C48","null","x4200","",
"cfw10","Standalone","Available","thang","2","D11","'16 - 17'","Keller 103","FGD8HS1","null","Dell R710","Production Checkpoint firewall",
"cfw11","Standalone","Retired","","null","Not Assigned","''","","0835BD0C4D","null","x4200","",
"cfw11","Standalone","Available","thang","2","D11","'24 - 25'","Keller 103","DT3SNS1","null","Dell R710","Production Checkpoint firewall",
"cfw20","Standalone","Available","","null","Not Assigned","''","","","null","UTM-1 Edge","",
"cfw71","Standalone","Retired","","null","Not Assigned","''","","0835BD0C49","null","x4200","",
"cfw71","Standalone","Available","thang","2","D11","'14 - 15'","Keller 103","FGDDHS1","null","Dell R710","Test/Dev Checkpoint firewall",
"cfw72","Standalone","Available","thang","2","D11","'20 - 21'","Keller 103","DT3TNS1","Dell","Dell R710","Test/Dev Checkpoint firewall",
"cfw72","Standalone","Retired","","null","Not Assigned","''","","0835BD0C4F","null","x4200","",
"cis02","","null","","null","Not Assigned","''","","","null","See NOTE1","",
"db01cs","Standalone","Available","","null","Not Assigned","''","","2TC54D1","null","Dell 1950","",
"del01","Standalone","Available","anicasm","null","Not Assigned","''","","881WLL1","Dell","Dell R710","Donated by Dell",
"dmd01","Standalone","Available","","null","Not Assigned","''","","6HK2TW1","Dell","md3660i","",
"dmd02","Standalone","Available","","null","Not Assigned","''","","6HN2TW1","Dell","md3660i","",
"dns0","","null","","null","Not Assigned","''","","","null","","",
"dns10","","null","","1","Not Assigned","''","","","null","v120","",
"dns20","Standalone","Available","","null","Not Assigned","''","","","null","v210","",
"dns4","Standalone","Available","","null","Not Assigned","''","","","null","netra T1 200","",
"dr-cfw10","Standalone","Available","thang","2","E1","'1 - 2'","ITC Data Center Room","FGDBHS1","null","Dell R710","Future DR Checkpoint firewall",
"dr-cfw11","Standalone","Available","","2","E2","'2 - 3'","ITC Data Center Room","DT4PNS1","null","Dell R710","Future DR Checkpoint firewall",
